Date(Yr3),Close(Yr3),Date(Yr4),Close(Yr4)
20210401,1.38332,20220403,1.31039
20210404,1.38298,20220404,1.31123
20210405,1.39121,20220405,1.30763
20210406,1.38297,20220406,1.30688
20210407,1.37412,20220407,1.30684
20210408,1.3733,20220410,1.30295
20210411,1.37076,20220411,1.30223
20210412,1.37532,20220412,1.30014
20210413,1.37586,20220413,1.31182
20210414,1.37775,20220414,1.30639
20210415,1.37831,20220417,1.30566
20210418,1.38173,20220418,1.30073
20210419,1.39911,20220419,1.30135
20210420,1.39375,20220420,1.30678
20210421,1.39308,20220421,1.30241
20210422,1.38386,20220424,1.28278
20210425,1.38644,20220425,1.27371
20210426,1.38943,20220426,1.25811
20210427,1.39027,20220427,1.25393
20210428,1.39539,20220428,1.24644
20210429,1.395,20220501,1.25699
20210502,1.38183,20220502,1.24991
20210503,1.39028,20220503,1.24981
20210504,1.38869,20220504,1.26161
20210505,1.39083,20220505,1.2362
20210506,1.38953,20220508,1.23252
20210509,1.40402,20220509,1.23355
20210510,1.41306,20220510,1.23068
20210511,1.41352,20220511,1.22332
20210512,1.40619,20220512,1.22042
20210513,1.40457,20220515,1.22566
20210516,1.41006,20220516,1.23254
20210517,1.41475,20220517,1.24867
20210518,1.41869,20220518,1.23437
20210519,1.41069,20220519,1.24624
20210520,1.41846,20220522,1.25032
20210523,1.41398,20220523,1.25669
20210524,1.41548,20220524,1.25409
20210525,1.41424,20220525,1.25856
20210526,1.41149,20220526,1.26166
20210527,1.42028,20220529,1.26239
20210530,1.4179,20220530,1.26452
20210531,1.42266,20220531,1.26092
20210601,1.41553,20220601,1.24833
20210602,1.41707,20220602,1.2578
20210603,1.41076,20220605,1.24897
20210606,1.41639,20220606,1.25229
20210607,1.41753,20220607,1.25869
20210608,1.41487,20220608,1.25399
20210609,1.41107,20220609,1.24922
20210610,1.417,20220612,1.22763
20210613,1.41173,20220613,1.21417
20210614,1.4109,20220614,1.20106
20210615,1.40804,20220615,1.21744
20210616,1.39886,20220616,1.23497
20210617,1.39374,20220619,1.22275
20210620,1.38158,20220620,1.22477
20210621,1.39238,20220621,1.22635
20210622,1.39488,20220622,1.22517
20210623,1.39663,20220623,1.22593
20210624,1.39157,20220626,1.22821
20210627,1.38957,20220627,1.22659
20210628,1.38782,20220628,1.21872
20210629,1.38398,20220629,1.21285
20210630,1.38279,20220630,1.21597
20210701,1.37585,20220703,1.20997
20210704,1.3831,20220704,1.2113
20210705,1.38529,20220705,1.19506
20210706,1.38037,20220706,1.19214
20210707,1.37992,20220707,1.20286
20210708,1.37893,20220710,1.20168
20210711,1.38982,20220711,1.18986
20210712,1.38858,20220712,1.18774
20210713,1.38052,20220713,1.18635
20210714,1.38558,20220714,1.18403
20210715,1.38277,20220717,1.18895
20210718,1.37629,20220718,1.19484
20210719,1.36684,20220719,1.20018
20210720,1.3634,20220720,1.19674
20210721,1.37115,20220721,1.19949
20210722,1.37722,20220724,1.19849
20210725,1.37565,20220725,1.20531
20210726,1.38257,20220726,1.2035
20210727,1.38817,20220727,1.21616
20210728,1.39055,20220728,1.21723
20210729,1.39632,20220731,1.21673
20210801,1.3895,20220801,1.22566
